Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_a3,0.0420770298947195,2.39158535064732E-06,0.0309289361767082,0,0,0,0.812844084223133,0.000704737938101172,6.24089469369115E-08,0.000222718237941791,0.00221978890401713,-7.15171425854216E-09,0.00212322267683195,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a3.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a3.STL,,MiniCobo 2023-03-03-1/MC 03_默认-1,ac-3,al-3,l_a3,revolute,0.21,0,-0.029,0,0,0,link_a2,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link_a4,7.76750219255717E-07,-0.0259439953527544,0.0452763939930491,0,0,0,0.308874987622185,0.000485733086722099,3.08676781440756E-09,-6.18132280352303E-09,0.000466300023609142,0.000110747347383686,0.000234864988215127,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a4.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a4.STL,,MiniCobo 2023-03-03-1/MC 04_默认-1,ac-4,al-4,l_a4,revolute,0.1303,0,0.0185,-1.5708,0,-1.5708,link_a3,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link_a5,-0.0445513312456203,9.09136003257593E-06,0.028316574521189,0,0,0,0.691432370139663,0.000535822909069584,-1.28721964722775E-07,-0.000165202507700496,0.001676540735218,5.37033230228944E-08,0.0016074988833998,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a5.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a5.STL,,MiniCobo 2023-03-03-1/MC 05_默认-1,ac-5,al-5,l_a5,revolute,0,-0.01805,0.0802,-1.5708,1.5708,0,link_a4,0,0,1,0,0,-2.0943,2.0943,,,,,,,,
link_a6,3.2405855921569E-05,-2.59134551063855E-05,0.015707130991251,0,0,0,0.147762234933799,6.8092530031301E-05,-3.14732636389879E-07,1.13156689588023E-07,6.64608114238396E-05,4.37366684845203E-08,0.000103936894327172,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a6.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_a6.STL,,MiniCobo 2023-03-03-1/MC 06_默认-1,ac-6,al-6,l_a6,revolute,-0.1233,0,0.01805,1.5708,0,-1.5708,link_a5,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link_at,0,-6.93889390390723E-18,-0.001,0,0,0,0.00155862265526224,9.71784989903346E-08,-6.18177605636776E-41,-2.82308475359692E-24,9.71784989903346E-08,2.4437407093716E-25,1.93317916210494E-07,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_at.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/link_at.STL,,link-t-1,ac-t,al-6,l_at,fixed,0,0,0.036,0,0,0,link_a6,0,0,0,,,,,,,,,,,,
Camera2_Link,-0.000143110787554801,-0.013057264464305,2.63392011492503E-05,0,0,0,0.0875979434243874,1.06602949918825E-05,-5.78556215601082E-08,8.54998727241372E-08,0.000107381008142404,-9.93797837095945E-09,0.00010643284507406,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/Camera2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/Camera2_Link.STL,,相机-1,cc_3,cl_3,cm2_l,fixed,0.1257,0.011,0.0287,0,0,0,link_2,0,0,0,,,,,,,,,,,,
Radar_Link,0,0,0.0184787735849057,0,0,0,0.0693768377667744,1.85319292807384E-05,-5.14770404218141E-25,1.39095744853425E-21,1.85319292807384E-05,2.01791017201619E-25,1.95171443604265E-05,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/Radar_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/Radar_Link.STL,,雷达-1,cc_1,cl_1,radar_l,fixed,0.126000000048257,0,-0.085,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
Camera1_Link,0.00233337804349315,-9.79771819231701E-15,-0.00700040239151145,0,0,0,0.0115484510006475,3.58630737488889E-07,-4.25998015464809E-22,1.15461272938505E-08,4.75824187174715E-06,6.35274710440725E-22,4.74543151710746E-06,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/Camera1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/Camera1_Link.STL,,底盘相机-1,cc_2,cl_2,cm1_l,fixed,0.19083,0.0029992,-0.12002,-0.66323,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
pw1_Link1,1.55159243786507E-09,-1.91786736492006E-09,0.043907311914765,0,0,0,0.0336452921507346,1.81877933576371E-05,1.9405688175799E-12,2.95478152216793E-13,1.64372778181745E-05,-4.40761107881898E-13,3.78930483297657E-06,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw1_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw1_Link1.STL,,从动轮1-1,pw1c-1,pw1l-1,pw1_1,continuous,-0.2125,-0.1625,-0.1964,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
pw1_Link2,5.55111512312578E-17,-5.55111512312578E-17,2.77555756156289E-17,0,0,0,0.227276040857673,0.00012938374626319,7.76446868316438E-23,5.24453922455797E-22,0.00012938374626319,-3.56249724995069E-21,0.000158274748324804,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw1_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw1_Link2.STL,,从动轮2-1,pw1c-2,pw1l-2,pw1_2,continuous,0,0,0.0577,0,-1.5708,0,pw1_Link1,0,0,1,,,,,,,,,,,,
pw2_Link1,-1.55159252113179E-09,1.9178671983866E-09,0.043907311914765,0,0,0,0.0336452921507346,1.81877933576371E-05,1.94056881776422E-12,-2.95478152490762E-13,1.64372778181745E-05,4.40761107646501E-13,3.78930483297657E-06,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw2_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw2_Link1.STL,,从动轮1-2,pw2c-1,pw2l-1,pw2_1,continuous,-0.2125,0.1625,-0.1964,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
pw2_Link2,-5.55111512312578E-17,5.55111512312578E-17,-1.11022302462516E-16,0,0,0,0.227276040857673,0.00012938374626319,9.98793016970697E-21,-5.9098770494008E-21,0.00012938374626319,1.63842472014806E-20,0.000158274748324804,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw2_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw2_Link2.STL,,从动轮2-2,pw2c-2,pw2l-2,pw2_2,continuous,0,0,0.0577,3.1416,1.5708,0,pw2_Link1,0,0,1,,,,,,,,,,,,
pw3_Link1,-1.55159246562064E-09,1.9178672053255E-09,0.043907311914765,0,0,0,0.0336452921507346,1.81877933576371E-05,1.94056881674145E-12,-2.95478152166121E-13,1.64372778181745E-05,4.40761109278603E-13,3.78930483297657E-06,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw3_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw3_Link1.STL,,从动轮1-3,pw3c-1,pw3l-1,pw3_1,continuous,0.1125,-0.1625,-0.1964,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
pw3_Link2,0,-1.38777878078145E-17,-5.55111512312578E-17,0,0,0,0.227276040857673,0.00012938374626319,-8.52679833569329E-21,-4.40525462088303E-21,0.00012938374626319,6.5413464013824E-22,0.000158274748324804,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw3_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw3_Link2.STL,,从动轮2-3,pw3c-2,pw3l-2,pw3_2,continuous,0,0,0.0577,3.1416,1.5708,0,pw3_Link1,0,0,1,,,,,,,,,,,,
pw4_Link1,-1.55159241010949E-09,1.91786722614218E-09,0.043907311914765,0,0,0,0.0336452921507346,1.81877933576371E-05,1.94056881697258E-12,-2.95478152280767E-13,1.64372778181745E-05,4.407611089841E-13,3.78930483297657E-06,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw4_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw4_Link1.STL,,从动轮1-4,pw4c-1,pw4l-1,pw4_1,continuous,0.1125,0.1625,-0.1964,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
pw4_Link2,0,-3.46944695195361E-17,-5.55111512312578E-17,0,0,0,0.227276040857673,0.00012938374626319,-5.22336984140152E-21,-4.89050422630819E-21,0.00012938374626319,4.93991300537734E-21,0.000158274748324804,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw4_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-0115/meshes/pw4_Link2.STL,,从动轮2-4,pw4c-2,pw4l-2,pw4_2,continuous,0,0,0.0577,3.1416,1.5708,0,pw4_Link1,0,0,1,,,,,,,,,,,,
